timestamp;;price
19.02.2023;23:59:59.999;24271.76000000
20.02.2023;23:59:59.999;24842.20000000
21.02.2023;23:59:59.999;24452.16000000
22.02.2023;23:59:59.999;24182.21000000
23.02.2023;23:59:59.999;23940.20000000
24.02.2023;23:59:59.999;23185.29000000
25.02.2023;23:59:59.999;23157.07000000
26.02.2023;23:59:59.999;23554.85000000
27.02.2023;23:59:59.999;23492.09000000
28.02.2023;23:59:59.999;23141.57000000
01.03.2023;23:59:59.999;23628.97000000
02.03.2023;23:59:59.999;23465.32000000
03.03.2023;23:59:59.999;22354.34000000
04.03.2023;23:59:59.999;22346.57000000
05.03.2023;23:59:59.999;22430.24000000
06.03.2023;23:59:59.999;22410.00000000
07.03.2023;23:59:59.999;22197.96000000
08.03.2023;23:59:59.999;21705.44000000
09.03.2023;23:59:59.999;20362.22000000
10.03.2023;23:59:59.999;20150.69000000
11.03.2023;23:59:59.999;20455.73000000
12.03.2023;23:59:59.999;21997.11000000
13.03.2023;23:59:59.999;24113.48000000
14.03.2023;23:59:59.999;24670.41000000
15.03.2023;23:59:59.999;24285.66000000
16.03.2023;23:59:59.999;24998.78000000
17.03.2023;23:59:59.999;27395.13000000
18.03.2023;23:59:59.999;26907.49000000
19.03.2023;23:59:59.999;27972.87000000
20.03.2023;23:59:59.999;27717.01000000
21.03.2023;23:59:59.999;28105.47000000
22.03.2023;23:59:59.999;27250.97000000
23.03.2023;23:59:59.999;28295.41000000
24.03.2023;23:59:59.999;27454.47000000
25.03.2023;23:59:59.999;27462.95000000
26.03.2023;23:59:59.999;27968.05000000
27.03.2023;23:59:59.999;27124.91000000
28.03.2023;23:59:59.999;27261.07000000
29.03.2023;23:59:59.999;28348.60000000
30.03.2023;23:59:59.999;28028.53000000
31.03.2023;23:59:59.999;28465.36000000
01.04.2023;23:59:59.999;28452.73000000
02.04.2023;23:59:59.999;28171.87000000
03.04.2023;23:59:59.999;27800.00000000
04.04.2023;23:59:59.999;28165.47000000
05.04.2023;23:59:59.999;28170.01000000
06.04.2023;23:59:59.999;28033.82000000
07.04.2023;23:59:59.999;27906.33000000
08.04.2023;23:59:59.999;27938.38000000
09.04.2023;23:59:59.999;28323.76000000
10.04.2023;23:59:59.999;29637.34000000
11.04.2023;23:59:59.999;30200.42000000
12.04.2023;23:59:59.999;29888.07000000
13.04.2023;23:59:59.999;30079.12000000
